ano,mes,maquina,central,codigo_agente,agente_descripcion,region,provincia,pais,tipo_maquina,fuente_generacion,tecnologia,categoria_hidraulica,categoria_region,generacion_neta,grupo_economico,lon,lat,geo_nombre,geo_tecnologia,geo_nombre_age,potencia_instalada,geo_provincia,geo_sistema
2025,2025-03-01,LEDETV01,LEDE,LEDESMYA,LEDESMA SAAI,NOROESTE,JUJUY,Argentina,TURBO VAPOR,Térmica,TV,,Noa,712.191,LEDESMA SAAI,-64.7933588752294,-23.8271582492634,LEDESMA,Térmica,LEDESMA SAAI,36.2,JUJUY,Interconectado MEM
2025,2025-03-01,LEO1EO,LEO1EO,PECAÑA2G,P.EOLICO CAÑADON LEÓN MATER,PATAGONICA,SANTA CRUZ,Argentina,EOLICA,Renovable,EOL,,Patagonia,6887.882,YPF ENERGÍA ELÉCTRICA S.A.,-67.6431174626149,-46.5886869250569,P.E. Cañadon Leon (ampliacion),Eólica,P.EOLICO CAÑADON LEÓN MATER,21.15,SANTA CRUZ,Interconectado MEM
2025,2025-03-01,LEONEO,LEONEO,PECAÑA1G,P.EOLICO CAÑADON LEÓN REN 2,PATAGONICA,SANTA CRUZ,Argentina,EOLICA,Renovable,EOL,,Patagonia,35769.008,YPF ENERGÍA ELÉCTRICA S.A.,-67.6442107612038,-46.5881144659283,PE CAÑADON LEON,Eólica,P.EOLICO CAÑADON LEÓN REN 2,101.52,SANTA CRUZ,Interconectado MEM
2025,2025-03-01,LEV1EO,LEV1EO,PELEVALG,P.EOLICO LEVALLE,CENTRO,CORDOBA,Argentina,EOLICA,Renovable,EOL,,Centro,19099.265,PROVINCIAL,-63.9025042201764,-34.0332539048498,P.EOLICO LEVALLE,Eólica,P.EOLICO LEVALLE,,CORDOBA,Interconectado MEM
2025,2025-03-01,LEV2EO,LEV2EO,PELEVALG,P.EOLICO LEVALLE,CENTRO,CORDOBA,Argentina,EOLICA,Renovable,EOL,,Centro,28838.136,PROVINCIAL,-63.9121632567096,-34.0798422886143,P.EOLICO LEVALLE,Eólica,P.EOLICO LEVALLE,,CORDOBA,Interconectado MEM
2025,2025-03-01,LEVATG01,LEVA,EPECORDG,EPEC GENERACION,CENTRO,CORDOBA,Argentina,TURBO GAS,Térmica,TG,,Centro,433.433,PROVINCIAL,-63.9219036602751,-34.0360304738103,LEVALLE,Térmica,EPEC GENERACION,46.0,CORDOBA,Interconectado MEM
2025,2025-03-01,LEVATG02,LEVA,EPECORDG,EPEC GENERACION,CENTRO,CORDOBA,Argentina,TURBO GAS,Térmica,TG,,Centro,427.206,PROVINCIAL,-63.9219036602751,-34.0360304738103,LEVALLE,Térmica,EPEC GENERACION,46.0,CORDOBA,Interconectado MEM
2025,2025-03-01,LFLOTV01,LFLO,FLORIDAA,CTBM Autogenerador La Florida,NOROESTE,TUCUMAN,Argentina,BIOMASA,Renovable,BIOM,,Noa,0.0,Sin clasificar,-65.0852473315527,-26.8172717595715,CTBM Autogenerador La Florida,Biomasa,CTBM Autogenerador La Florida,14.47,TUCUMAN,Interconectado MEM
2025,2025-03-01,LHEREO,LHEREO,PEHERCUG,P.EOLICO LOS HERCULES,PATAGONICA,SANTA CRUZ,Argentina,EOLICA,Renovable,EOL,,Patagonia,30766.612,TOTAL ENERGIES SE2,-68.3852591472237,-46.6310858594343,PE LOS HERCULES,Eólica,P.EOLICO LOS HERCULES,97.2,SANTA CRUZ,Interconectado MEM
2025,2025-03-01,LIBEDI01,LIBE,CTLIBESG,CT LIBERTADOR GSM - SULLAIR,NOROESTE,JUJUY,Argentina,MOTOR DIESEL,Térmica,DI,,Noa,366.887,SULLAIR ARGENTINA S.A.,-64.7842728205002,-23.8224617302045,LIB. SAN MARTIN,Térmica,CT LIBERTADOR GSM - SULLAIR,15.26,JUJUY,Interconectado MEM
